32227, 小镇Ville, <全部>, 床
32237, 小镇Ville, <全部>, 书桌
32247, 小镇Ville, <全部>, 衣柜
32257, 小镇Ville, <全部>, 货架
32267, 小镇Ville, <全部>, 画架
32277, 小镇Ville, <全部>, 浴室洗手池
32208, 小镇Ville, <全部>, 淋浴
32218, 小镇Ville, <全部>, 马桶
32228, 小镇Ville, <全部>, 厨房水槽
32238, 小镇Ville, <全部>, 冰箱
32248, 小镇Ville, <全部>, 烤面包机
32258, 小镇Ville, <全部>, 炊事区
32268, 小镇Ville, <全部>, 公共休息室桌子
32278, 小镇Ville, <全部>, 公共休息室沙发
32209, 小镇Ville, <全部>, 吉他
32219, 小镇Ville, <全部>, 麦克风
32229, 小镇Ville, <全部>, 酒吧顾客座位
32239, 小镇Ville, <全部>, 酒吧柜台后面
32249, 小镇Ville, <全部>, 咖啡店柜台后面
32259, 小镇Ville, <全部>, 咖啡店顾客座位
32269, 小镇Ville, <全部>, 钢琴
32279, 小镇Ville, <全部>, 黑板
32210, 小镇Ville, <全部>, 游戏机
32220, 小镇Ville, <全部>, 电脑桌
32230, 小镇Ville, <全部>, 电脑
32240, 小镇Ville, <全部>, 图书馆沙发
32250, 小镇Ville, <全部>, 书架
32260, 小镇Ville, <全部>, 图书馆桌子
32270, 小镇Ville, <全部>, 学生座椅
32280, 小镇Ville, <全部>, 教室讲台
32211, 小镇Ville, <全部>, 药房柜台后面
32221, 小镇Ville, <全部>, 杂货店柜台后面
32231, 小镇Ville, <全部>, 药房货架
32241, 小镇Ville, <全部>, 杂货店货架
32251, 小镇Ville, <全部>, 药房柜台
32261, 小镇Ville, <全部>, 杂货店柜台
32271, 小镇Ville, <全部>, 供应店产品货架
32281, 小镇Ville, <全部>, 供应店柜台后面
32212, 小镇Ville, <全部>, 供应店柜台
32222, 小镇Ville, <全部>, 宿舍花园
32232, 小镇Ville, <全部>, 房子花园
32242, 小镇Ville, <全部>, 花园椅子
32252, 小镇Ville, <全部>, 公园花园
32262, 小镇Ville, <全部>, 竖琴
32272, 小镇Ville, <全部>, 举重
32282, 小镇Ville, <全部>, 台球桌