32285, 小镇, 艺术家合租公寓, Latoya Williams的房间, sp-A
32295, 小镇, 艺术家合租公寓, Rajiv Patel的房间, sp-A
32305, 小镇, 艺术家合租公寓, Rajiv Patel的房间, sp-B
32315, 小镇, 艺术家合租公寓, Abigail Chen的房间, sp-A
32286, 小镇, 艺术家合租公寓, Francisco Lopez的房间, sp-A
32296, 小镇, 艺术家合租公寓, Hailey Johnson的房间, sp-A
32306, 小镇, Arthur Burton的公寓, 主房间, sp-A
32316, 小镇, Arthur Burton的公寓, 主房间, sp-B
32287, 小镇, Ryan Park的公寓, 主房间, sp-A
32297, 小镇, Ryan Park的公寓, 主房间, sp-B
32307, 小镇, Isabella Rodriguez的公寓, 主房间, sp-A
32317, 小镇, Isabella Rodriguez的公寓, 主房间, sp-B
32288, 小镇, Giorgio Rossi的公寓, 主房间, sp-A
32298, 小镇, Giorgio Rossi的公寓, 主房间, sp-B
32308, 小镇, Carlos Gomez的公寓, 主房间, sp-A
32318, 小镇, Carlos Gomez的公寓, 主房间, sp-B
32289, 小镇, Adam Smith的房子, 主房间, sp-A
32299, 小镇, Adam Smith的房子, 主房间, sp-B
32309, 小镇, Yuriko Yamamoto的房子, 主房间, sp-A
32319, 小镇, Yuriko Yamamoto的房子, 主房间, sp-B
32290, 小镇, Moore家的房子, 主房间, sp-A
32300, 小镇, Moore家的房子, 主房间, sp-B
32310, 小镇, Tamara Taylor和Carmen Ortiz的房子, Tamara Taylor的房间, sp-A
32320, 小镇, Tamara Taylor和Carmen Ortiz的房子, Tamara Taylor的房间, sp-B
32291, 小镇, Tamara Taylor和Carmen Ortiz的房子, Carmen Ortiz的房间, sp-A
32301, 小镇, Tamara Taylor和Carmen Ortiz的房子, Carmen Ortiz的房间, sp-B
32311, 小镇, Moreno家的房子, Tom和Jane Moreno的卧室, sp-A
32321, 小镇, Moreno家的房子, Tom和Jane Moreno的卧室, sp-B
32292, 小镇, Moreno家的房子, 空卧室, sp-A
32302, 小镇, Moreno家的房子, 空卧室, sp-B
32312, 小镇, Lin家的房子, Mei和John Lin的卧室, sp-A
32322, 小镇, Lin家的房子, Mei和John Lin的卧室, sp-B
32293, 小镇, Lin家的房子, Eddy Lin的卧室, sp-A
32303, 小镇, Lin家的房子, Eddy Lin的卧室, sp-B
32313, 小镇, 橡树山学院宿舍, Klaus Mueller的房间, sp-A
32323, 小镇, 橡树山学院宿舍, Klaus Mueller的房间, sp-B
32294, 小镇, 橡树山学院宿舍, Maria Lopez的房间, sp-A
32304, 小镇, 橡树山学院宿舍, Ayesha Khan的房间, sp-A
32314, 小镇, 橡树山学院宿舍, Ayesha Khan的房间, sp-B
32324, 小镇, 橡树山学院宿舍, Wolfgang Schulz的房间, sp-A